"year","dest","flow_pri_15_34","flow_sec_15_34","flow_ter_15_34","flow_pri_35_64","flow_sec_35_64","flow_ter_35_64","flow_others","flow_total"
2000,"AUS",10472,12452,9588,15876,16839,17019,18487,100733
2000,"AUT",4808,4687,1711,5185,7873,4450,4975,33689
2000,"BEL",3518,3421,3290,9549,4478,6085,15247,45588
2000,"BGR",0,0,0,0,0,0,0,0
2000,"CAN",16788,24237,29095,22024,29247,51424,25490,198305
2000,"CHE",2821,3574,3009,6329,8852,7950,11192,43727
2000,"CHL",0,0,0,0,0,0,0,0
2000,"CYP",0,0,0,0,0,0,0,0
2000,"CZE",61,109,38,93,201,76,173,751
2000,"DEU",0,0,0,0,0,0,0,0
2000,"DNK",2819,2314,1055,1685,2971,2701,4573,18118
2000,"ESP",106367,42603,25090,69784,26196,25158,17542,312740
2000,"EST",0,0,0,0,0,0,0,0
2000,"FIN",1689,723,314,1011,439,490,187,4853
2000,"FRA",9982,8022,5657,20234,12001,11519,8238,75653
2000,"GBR",9456,12490,22215,16168,8365,21603,16577,106874
2000,"GRC",0,0,0,0,0,0,0,0
2000,"HUN",1501,2695,729,1682,2406,1574,2741,13328
2000,"IRL",967,948,1190,1668,1247,1409,972,8401
2000,"ISL",0,0,0,0,0,0,0,0
2000,"ISR",0,0,0,0,0,0,0,0
2000,"ITA",43193,25379,5370,32114,18417,7582,5920,137975
2000,"JPN",25989,56436,34060,17026,28575,33955,50277,246318
2000,"LTU",0,0,0,0,0,0,0,0
2000,"LUX",593,1471,933,1408,1795,1382,2207,9789
2000,"LVA",0,0,0,0,0,0,0,0
2000,"MEX",0,0,0,0,0,0,0,0
2000,"MLT",0,0,0,0,0,0,0,0
2000,"NLD",850,387,0,12048,12293,9357,1761,36696
2000,"NOR",1053,3152,1217,1322,4035,3453,9807,24039
2000,"NZL",1288,6730,3451,2438,6920,6580,7590,34997
2000,"POL",458,775,523,441,1377,1512,2048,7134
2000,"PRT",3927,1922,1009,3368,1094,1225,1240,13785
2000,"ROU",0,0,0,0,0,0,0,0
2000,"RUS",0,0,0,0,0,0,0,0
2000,"SVK",0,0,0,0,0,0,0,0
2000,"SVN",0,0,0,0,0,0,0,0
2000,"SWE",3205,4483,3127,4206,7331,5490,6465,34307
2000,"TUR",0,0,0,0,0,0,0,0
2000,"USA",117224,112114,76465,125669,119758,127453,70989,749672
2005,"AUS",25244,88083,83818,55524,120419,127993,134287,635368
2005,"AUT",0,0,0,0,0,0,0,0
2005,"BEL",0,0,0,0,0,0,0,0
2005,"BGR",0,0,0,0,0,0,0,0
2005,"CAN",65803,116750,172539,75854,156332,353904,140580,1081762
2005,"CHE",0,0,0,0,0,0,0,0
2005,"CHL",0,0,0,0,0,0,0,0
2005,"CYP",0,0,0,0,0,0,0,0
2005,"CZE",0,0,0,0,0,0,0,0
2005,"DEU",0,0,0,0,0,0,1618951,1618951
2005,"DNK",11238,8398,4936,6791,14191,13651,24481,83686
2005,"ESP",126691,51553,9471,353636,238257,96705,15862,892175
2005,"EST",0,0,0,0,0,0,0,0
2005,"FIN",10566,3533,2277,7155,3217,3656,1165,31569
2005,"FRA",62154,57121,48195,133865,86197,81176,70153,538861
2005,"GBR",3140,3885,4905,32483,18985,65416,36187,165001
2005,"GRC",0,0,0,0,0,0,0,0
2005,"HUN",0,0,0,0,0,0,0,0
2005,"IRL",4119,3669,4671,8488,6872,8902,5080,41801
